id,word_id,example,translate
122,122,She took a photo with her camera in the park.,Она сделала фото своим фотоаппаратом в парке.
123,123,He works on his laptop every day.,Он работает на своем ноутбуке каждый день.
124,124,I forgot my phone charger at home.,Я забыл зарядку для телефона дома.
125,125,I wear glasses to see better.,"Я ношу очки, чтобы лучше видеть."
126,126,He wore a hat to protect himself from the sun.,"Он носил шляпу, чтобы защититься от солнца."
127,127,I bought a souvenir from my trip to Paris.,Я купил сувенир из своей поездки в Париж.
128,128,She sent me a postcard from her vacation.,Она прислала мне открытку из своего отпуска.
129,129,I bought a gift for my friend.,Я купил подарок для моего друга.
130,130,This is my favorite book.,Это моя любимая книга.
131,131,That car is very fast.,Тот автомобиль очень быстрый.
132,132,These shoes are comfortable.,Эти туфли удобные.
133,133,Those apples look fresh.,Те яблоки выглядят свежими.
134,134,I want a cup of tea.,Я хочу чашку чая.
135,135,She has an orange in her bag.,У неё в сумке есть апельсин.
136,136,The cat is sleeping on the sofa.,Кошка спит на диване.
137,137,The word 'cat' is singular.,Слово 'кот' в единственном числе.
138,138,The word 'cats' is plural.,Слово 'коты' в множественном числе.
139,139,What is that thing over there?,Что это за вещь вон там?
140,140,The price of the book is low.,Цена книги низкая.
141,141,This dress is very cheap.,Это платье очень дешёвое.
142,142,That watch is too expensive for me.,Тот часы слишком дорогие для меня.
143,143,How much does this shirt cost?,Сколько стоит эта рубашка?
144,144,I usually have lunch at noon.,Я обычно обедаю в полдень.
145,145,I made a sandwich for breakfast.,Я приготовил сэндвич на завтрак.
146,146,She ordered a salad with dressing.,Она заказала салат с соусом.
147,147,He drinks orange juice every morning.,Он пьёт апельсиновый сок каждое утро.
148,148,I want to buy a new phone.,Я хочу купить новый телефон.
149,149,I want to sell my old bike.,Я хочу продать свой старый велосипед.
150,150,I have a cat and a dog.,У меня есть кошка и собака.
151,151,I need a glass of water.,Мне нужен стакан воды.
152,152,I want to go to the park.,Я хочу пойти в парк.
153,153,Please open the window.,"Пожалуйста, открой окно."
154,154,Can you close the door?,Ты можешь закрыть дверь?
155,155,Look at the beautiful flowers.,Посмотри на красивые цветы.
156,156,"Listen to the music, it's nice.","Послушай музыку, она хорошая."
157,157,I like to read books in the evening.,Мне нравится читать книги вечером.
158,158,Please write your name here.,"Пожалуйста, напиши свое имя здесь."
159,159,I can speak a little English.,Я могу немного говорить по-английски.
160,160,My family is very important to me.,Моя семья очень важна для меня.
161,161,My mother is a teacher.,Моя мама учитель.
162,162,My father works in an office.,Мой папа работает в офисе.
163,163,Mum makes delicious food.,Мама готовит вкусную еду.
164,164,Dad plays football with me.,Папа играет со мной в футбол.
165,165,A parent loves their children.,Родитель любит своих детей.
166,166,My brother is very funny.,Мой брат очень смешной.
167,167,My sister likes to dance.,Моя сестра любит танцевать.
168,168,My son is five years old.,Моему сыну пять лет.
169,169,My daughter loves to play outside.,Моя дочь любит играть на улице.
170,170,This child is very happy today.,Этот ребёнок сегодня очень счастлив.
171,171,The children are playing in the park.,Дети играют в парке.
172,172,Her husband is a doctor in our town.,Её муж — врач в нашем городе.
173,173,My wife cooks dinner every evening.,Моя жена готовит ужин каждый вечер.
174,174,My grandfather tells great stories.,Мой дедушка рассказывает отличные истории.
175,175,Her grandmother makes the best cookies.,Её бабушка делает самые вкусные печенья.
176,176,My uncle works in a big company.,Мой дядя работает в большой компании.
177,177,My aunt loves to travel around the world.,Моя тётя любит путешествовать по миру.
178,178,My cousin is coming to visit us.,Мой двоюродный брат/сестра приедет к нам в гости.
179,179,He is my best friend from school.,Он мой лучший друг со школы.
180,180,Her boyfriend is very funny and kind.,Её парень очень смешной и добрый.
181,181,My girlfriend likes to read books.,Моя девушка любит читать книги.
182,182,She is a kind person and helps everyone.,Она добрый человек и помогает всем.
183,183,These people are my neighbors.,Эти люди — мои соседи.
184,184,That man is a famous artist.,Тот мужчина — известный художник.
185,185,The woman is wearing a red dress.,Женщина в красном платье.
186,186,The boy is playing with a ball.,Мальчик играет с мячом.
187,187,The girl has a beautiful smile.,У девочки красивая улыбка.
188,188,My car is parked in front of the house.,Моя машина припаркована перед домом.
189,189,My favorite colour is blue.,Мой любимый цвет синий.
190,190,She has a red dress.,У неё есть красное платье.
191,191,The sky is blue today.,Сегодня небо голубое.
192,192,The grass is green in spring.,Трава зелёная весной.
193,193,I like yellow flowers.,Мне нравятся жёлтые цветы.
194,194,He wears a black hat.,Он носит чёрную шляпу.
195,195,The snow is white and soft.,Снег белый и мягкий.
196,196,I have a brown dog.,У меня есть коричневый пес.
197,197,Her hair is grey now.,Её волосы теперь серые.
198,198,They painted the wall orange.,Они покрасили стену в оранжевый цвет.
199,199,She likes pink shoes.,Ей нравятся розовые туфли.
200,200,That is a big house.,Это большой дом.
201,201,I have a small cat.,У меня есть маленькая кошка.
202,202,He bought a new car.,Он купил новую машину.
203,203,This book is very old.,Эта книга очень старая.
204,204,She is a good friend.,Она хорошая подруга.
205,205,This movie is bad.,Этот фильм плохой.
206,206,They have a nice garden.,У них красивый сад.
207,207,The sunset is beautiful today.,Закат сегодня красивый.
208,208,He runs very fast.,Он бегает очень быстро.
209,209,The car is very slow today.,Машина сегодня очень медленная.
210,210,This cake is perfect for the party.,Этот торт идеален для вечеринки.
211,211,I usually eat breakfast at eight o'clock.,Я обычно завтракаю в восемь часов.
212,212,We have dinner together every Sunday.,Мы ужинаем вместе каждое воскресенье.
213,213,Lunch is my favorite meal of the day.,Обед — это мой любимый приём пищи в день.
214,214,I love Italian food very much.,Я очень люблю итальянскую еду.
215,215,Can I have a drink of water?,Можно мне выпить воды?
216,216,I need some bread for the sandwich.,Мне нужен хлеб для сэндвича.
217,217,Please put some butter on my bread.,"Пожалуйста, положите немного масла на мой хлеб."
218,218,I like cheese on my pizza.,Мне нравится сыр на пицце.
219,219,I want an egg for breakfast.,Я хочу яйцо на завтрак.
220,220,She drinks milk every morning.,Она пьёт молоко каждое утро.
221,221,I add sugar to my tea.,Я добавляю сахар в свой чай.
222,222,They sell fresh fruit at the market.,На рынке продают свежие фрукты.
223,223,I eat an apple every day.,Я ем яблоко каждый день.
224,224,He likes to eat a banana after lunch.,Ему нравится есть банан после обеда.
225,225,Carrots are my favorite vegetable.,Морковь — мой любимый овощ.
226,226,I put tomato in my salad.,Я кладу помидор в свой салат.
227,227,We have mashed potato for dinner.,У нас картофельное пюре на ужин.
228,228,I cook rice for lunch today.,Я готовлю рис на обед сегодня.
229,229,I like to eat pasta for dinner.,Мне нравится есть пасту на ужин.
230,230,He doesn't eat meat on Fridays.,Он не ест мясо по пятницам.
231,231,We will cook chicken for lunch.,Мы приготовим курицу на обед.
232,232,She loves to eat fish and rice.,Она любит есть рыбу и рис.
233,233,I eat breakfast at eight o'clock.,Я завтракаю в восемь часов.
234,234,They like to play soccer after school.,Им нравится играть в футбол после школы.
235,235,I love chocolate ice cream very much.,Я очень люблю шоколадное мороженое.
236,236,He hates waiting in long lines.,Он ненавидит ждать в длинных очередях.
237,237,They live in a small house by the sea.,Они живут в маленьком доме у моря.
238,238,She works in a big office downtown.,Она работает в большом офисе в центре города.
239,239,I study English every day after school.,Я учу английский каждый день после школы.
240,240,We go to the park on weekends.,Мы ходим в парк по выходным.
241,241,Please come to my birthday party.,"Пожалуйста, приходи на мой день рождения."
242,242,I get up early every morning.,Я встаю рано каждое утро.
243,243,I usually go to bed at ten o'clock.,Я обычно ложусь спать в десять часов.
244,244,We start the meeting at nine o'clock.,Мы начинаем встречу в девять часов.
245,245,I finish my homework before dinner.,Я заканчиваю домашнее задание перед ужином.
246,246,Our flight leaves at three in the afternoon.,Наш рейс вылетает в три часа дня.
247,247,The plane is landing at the airport now.,Самолёт сейчас приземляется в аэропорту.
248,248,I will meet you at the airport tomorrow.,Я встречу тебя в аэропорту завтра.
249,249,I want to travel to France this summer.,Я хочу путешествовать во Францию этим летом.
250,250,I usually eat breakfast at 8 AM.,Я обычно завтракаю в 8 утра.
251,251,She always drinks coffee in the morning.,Она всегда пьет кофе утром.
252,252,I never go to bed late on weekdays.,Я никогда не ложусь спать поздно в будние дни.
253,253,We sometimes watch movies on weekends.,Мы иногда смотрим фильмы по выходным.
254,254,He often plays football after school.,Он часто играет в футбол после школы.
255,255,I have a new job in a big company.,У меня новая работа в большой компании.
256,256,My office is on the third floor.,Мой офис на третьем этаже.
257,257,The hospital is near my house.,Больница рядом с моим домом.
258,258,The school is closed for the summer holidays.,Школа закрыта на летние каникулы.
259,259,She studies at a university in Moscow.,Она учится в университете в Москве.
260,260,I will go to the shop to buy milk.,"Я пойду в магазин, чтобы купить молоко."
261,261,We had dinner at a nice restaurant last night.,Мы ужинали в хорошем ресторане прошлой ночью.
262,262,The doctor helps people when they are sick.,"Врач помогает людям, когда они больны."
263,263,The nurse takes care of the patients in the hospital.,Медсестра заботится о пациентах в больнице.
264,264,The waiter brought our food very quickly.,Официант принес нашу еду очень быстро.
265,265,The chef makes delicious meals at the restaurant.,Шеф-повар готовит вкусные блюда в ресторане.
266,266,The driver took us to the airport on time.,Водитель вовремя отвез нас в аэропорт.
267,267,The pilot flew the plane safely to the destination.,Пилот безопасно приземлил самолет в пункте назначения.
268,268,The engineer designs new machines for the factory.,Инженер разрабатывает новые машины для фабрики.
269,269,My sister is a lawyer in our city.,Моя сестра юрист в нашем городе.
270,270,He wants to be an actor one day.,Он хочет стать актёром однажды.
271,271,She is a famous singer in Russia.,Она известная певица в России.
272,272,The journalist wrote a new article today.,Журналист написал новую статью сегодня.
273,273,Our manager is very helpful and kind.,Наш менеджер очень полезный и добрый.
274,274,The receptionist answered the phone quickly.,Администратор быстро ответил на телефон.
275,275,I like to drink coffee in the morning.,Мне нравится пить кофе утром.
276,276,We have a meeting this afternoon at two.,У нас встреча сегодня днем в два.
277,277,I watch TV in the evening after dinner.,Я смотрю телевизор вечером после ужина.
278,278,The stars shine bright at night.,Звёзды ярко светят ночью.
279,279,What time is the meeting today?,Во сколько встреча сегодня?
280,280,I will wait for one hour at the café.,Я буду ждать один час в кафе.
281,281,"Please wait a minute, I will be right back.","Пожалуйста, подожди минуту, я скоро вернусь."
282,282,The meeting starts at three o'clock.,Встреча начинается в три часа ровно.
283,283,This is a typical day for me.,Это типичный день для меня.
284,284,She is very busy with her work today.,Она очень занята своей работой сегодня.
285,285,I feel tired after a long day.,Я чувствую себя усталым после долгого дня.
286,286,He is happy because it is sunny.,"Он счастлив, потому что солнечно."
287,287,She feels sad when it rains.,"Она чувствует себя грустной, когда идет дождь."
288,288,I am hungry after the long walk.,Я голодный после долгой прогулки.
289,289,I am very thirsty after the walk.,Мне очень хочется пить после прогулки.
290,290,She wakes up early every day.,Она встаёт рано каждый день.
291,291,He always comes home late from work.,Он всегда приходит домой поздно с работы.
292,292,I drink coffee every day in the morning.,Я пью кофе каждый день утром.
293,293,I like to read books at night.,Мне нравится читать книги ночью.
294,294,They go jogging in the morning.,Они бегают по утрам.
295,295,We relax on the weekend with friends.,Мы отдыхаем на выходных с друзьями.
296,296,She likes to paint in her free time.,Ей нравится рисовать в своём свободном времени.
297,297,My hobby is gardening and growing flowers.,Моё хобби — садоводство и выращивание цветов.
298,298,He plays sport every Saturday with his friends.,Он занимается спортом каждую субботу с друзьями.
299,299,We watch football games on TV.,Мы смотрим футбольные матчи по телевизору.
300,300,She plays tennis every weekend.,Она играет в теннис каждые выходные.
301,301,Swimming is fun in the summer.,Плавание — это весело летом.
302,302,I enjoy running in the park.,Мне нравится бегать в парке.
303,303,He listens to music while studying.,Он слушает музыку во время учёбы.
304,304,They watched a new film last night.,Они смотрели новый фильм прошлой ночью.
305,305,We go to the cinema every month.,Мы ходим в кинотеатр каждый месяц.
306,306,I love watching comedy films on weekends.,Мне нравится смотреть комедийные фильмы на выходных.
307,307,This drama film is very interesting.,Этот драматический фильм очень интересный.
308,308,He enjoys watching action films with friends.,Ему нравится смотреть боевики с друзьями.
309,309,I watched a horror film last night.,Я посмотрел фильм ужасов прошлой ночью.
310,310,She loves reading science fiction books.,Она любит читать книги научной фантастики.
311,311,Children like to play in the park.,Дети любят играть в парке.
312,312,I cook dinner for my family every day.,Я готовлю ужин для своей семьи каждый день.
313,313,They dance together at the party.,Они танцуют вместе на вечеринке.
314,314,He likes to sing in the shower.,Ему нравится петь в душе.
315,315,I will meet my friend tomorrow.,Я встречу своего друга завтра.
316,316,We will visit our grandparents this weekend.,Мы посетим наших бабушку и дедушку в эти выходные.
317,317,I will stay at home today.,Я останусь дома сегодня.
318,318,"After work, I like to relax with a book.",После работы я люблю расслабляться с книгой.
319,319,I walk to school every day.,Я хожу в школу каждый день.
320,320,She can drive a car very well.,Она хорошо водит машину.
321,321,He likes to ride his bike in the park.,Ему нравится ездить на велосипеде в парке.
322,322,There are twelve months in a year.,В году двенадцать месяцев.
323,323,January is the first month of the year.,Январь - первый месяц года.
324,324,February is a short month.,Февраль - короткий месяц.
325,325,March comes after February.,Март идет после февраля.
326,326,April is known for its rain.,Апрель известен своим дождем.
327,327,May is a beautiful month for flowers.,Май - прекрасный месяц для цветов.
328,328,June is the start of summer.,Июнь - начало лета.
329,329,My birthday is in July.,Мой день рождения в июле.
330,330,We go on vacation in August.,Мы уезжаем в отпуск в августе.
331,331,School starts in September.,Школа начинается в сентябре.
332,332,Halloween is in October.,Хэллоуин в октябре.
333,333,Thanksgiving is in November.,День благодарения в ноябре.
334,334,Christmas is in December.,Рождество в декабре.
335,335,What is today's date?,Какое сегодня число?
336,336,Today is a sunny day.,Сегодня солнечный день.
337,337,I will call you tomorrow.,Я позвоню тебе завтра.
338,338,Yesterday was very cold.,Вчера было очень холодно.
339,339,I can speak English well.,Я могу хорошо говорить по-английски.
340,340,Please park the car here.,"Пожалуйста, припаркуй машину здесь."
341,341,I swim in the pool every day.,Я плаваю в бассейне каждый день.
342,342,They ski in the mountains.,Они катаются на лыжах в горах.
343,343,I like to draw pictures.,Мне нравится рисовать картинки.
344,344,She wants to paint the wall.,Она хочет покрасить стену.
345,345,We take photos at the park.,Мы фотографируемся в парке.
346,346,I use my phone to call.,"Я использую телефон, чтобы позвонить."
347,347,Can you help me with this?,Ты можешь помочь мне с этим?
348,348,Please wait for me here.,"Пожалуйста, подожди меня здесь."
349,349,I sit on the chair every day.,Я сижу на стуле каждый день.
350,350,She stands near the window.,Она стоит у окна.
351,351,They run in the park every morning.,Они бегают в парке каждое утро.
352,352,The kids jump on the trampoline.,Дети прыгают на батуте.
353,353,My favorite activity is painting.,Моё любимое занятие — рисование.
354,354,I practice yoga every Sunday.,Я занимаюсь йогой каждое воскресенье.
355,355,He goes to the gym after work.,Он ходит в спортзал после работы.
356,356,I ride my bike to school.,Я еду на велосипеде в школу.
357,357,She uses her computer to study.,Она использует свой компьютер для учёбы.
358,358,I often browse the internet at home.,Я часто сижу в интернете дома.
359,359,We play a game every Friday night.,Мы играем в игру каждую пятницу вечером.
360,360,I enjoy cooking new recipes.,Мне нравится готовить новые рецепты.
361,361,This recipe is very easy to follow.,Этот рецепт очень лёгкий в приготовлении.
362,362,The kitchen is clean and organized.,Кухня чистая и организованная.
363,363,I like cooking on weekends.,Мне нравится готовить по выходным.
364,364,She loves dancing at parties.,Она обожает танцевать на вечеринках.
365,365,He hates cleaning his room.,Он ненавидит убирать свою комнату.
366,366,I am good at math and science.,Я способный к математике и наукам.
367,367,This exercise is difficult for me.,Это упражнение трудное для меня.
368,368,The test was easy to complete.,Тест был лёгким для выполнения.
369,369,The game was really fun to play.,Игра была действительно весёлой.
370,370,This book is very interesting to read.,Эта книга очень интересная для чтения.
371,371,The movie was boring and too long.,Фильм был скучным и слишком длинным.
372,372,We are planning a trip to the mountains.,Мы планируем поездку в горы.
373,373,The train leaves at eight o'clock.,Поезд уходит в восемь часов.
374,374,I will meet you at the train station.,Я встречу тебя на вокзале.
375,375,I need a taxi to the airport now.,Мне нужно такси в аэропорт сейчас.
376,376,The car park is full today.,Парковка сегодня полная.
377,377,I packed my suitcase for the trip.,Я собрал чемодан для поездки.
378,378,We waited at passport control for an hour.,Мы ждали на паспортном контроле час.
379,379,Our flight leaves from gate number five.,Наш рейс вылетает с выхода на посадку номер пять.
380,380,There is a delay for our flight to London.,Есть задержка для нашего рейса в Лондон.
381,381,I need new clothes for the summer.,Мне нужна новая одежда на лето.
382,382,He wears a blue T-shirt every day.,Он носит синюю футболку каждый день.
383,383,She bought a new shirt for work.,Она купила новую рубашку для работы.
384,384,These trousers are too big for me.,Эти брюки слишком большие для меня.
385,385,I like wearing jeans on the weekend.,Мне нравится носить джинсы в выходные.
386,386,She wore a beautiful skirt to the party.,Она надела красивую юбку на вечеринку.
387,387,This dress is perfect for the wedding.,Это платье идеально для свадьбы.
388,388,He bought a warm coat for winter.,Он купил тёплое пальто на зиму.
389,389,I wear my jacket when it is cold.,"Я ношу свою куртку, когда холодно."
390,390,She bought new shoes for the party.,Она купила новые туфли для вечеринки.
391,391,He wears his boots in the winter.,Он носит свои ботинки зимой.
392,392,I need to wash my socks today.,Мне нужно постирать свои носки сегодня.
393,393,I like to wear comfortable clothes.,Мне нравится носить удобную одежду.
394,394,Please put on your coat before going out.,"Пожалуйста, наденьте свое пальто перед выходом."
395,395,You can take off your shoes here.,Ты можешь снять свои туфли здесь.
396,396,"I am busy now, can I call you later?","Я занят сейчас, могу позвонить тебе позже?"
397,397,I am studying English at the moment.,Я учу английский в данный момент.
398,398,I will wait for you at the bus stop.,Я буду ждать тебя на автобусной остановке.
399,399,Look at the beautiful flowers in the garden.,Посмотри на красивые цветы в саду.
400,400,They like to talk about their plans.,Им нравится разговаривать о своих планах.
401,401,I will call you tomorrow morning.,Я позвоню тебе завтра утром.
402,402,Please send me the details by email.,"Пожалуйста, отправь мне детали по электронной почте."
403,403,I received a message from my friend.,Я получил сообщение от моего друга.
404,404,This room is very cozy and warm.,Эта комната очень уютная и теплая.
405,405,The view from the window is amazing.,Вид из окна потрясающий.
406,406,We booked a hotel room for two nights.,Мы забронировали номер в отеле на две ночи.
407,407,The bathroom is next to the bedroom.,Ванная находится рядом со спальней.
408,408,I sleep on a comfortable bed every night.,Я сплю на удобной кровати каждую ночь.
409,409,I sleep with a soft pillow every night.,Я сплю с мягкой подушкой каждую ночь.
410,410,"Can you pass me the towel, please?","Можешь передать мне полотенце, пожалуйста?"
411,411,I take a shower every morning before work.,Я принимаю душ каждое утро перед работой.
412,412,The wifi is very slow in this hotel.,Вайфай в этом отеле очень медленный.
413,413,I lost my key card for the room.,Я потерял ключ-карту от номера.
414,414,The reception is open 24 hours a day.,Ресепшен открыт 24 часа в сутки.
415,415,There is a cat on the roof.,На крыше есть кошка.
416,416,There are many books on the shelf.,На полке есть много книг.
417,417,I have some apples in my bag.,У меня есть несколько яблок в сумке.
418,418,Do you have any questions for me?,У тебя есть какие-либо вопросы ко мне?
419,419,The keys are in my pocket.,Ключи в моем кармане.
420,420,The book is on the table.,Книга на столе.
421,421,The cat is hiding under the bed.,Кошка прячется под кроватью.
422,422,The bank is next to the supermarket.,Банк находится рядом с супермаркетом.
423,423,The park is between the school and the library.,Парк находится между школой и библиотекой.
424,424,The dog is behind the fence.,Собака за забором.
425,425,The car is parked in front of the house.,Машина припаркована перед домом.
426,426,I will meet you at the cafe.,Я встречу тебя у кафе.
427,427,She was happy to see her friend.,Она была счастлива увидеть свою подругу.
428,428,They were excited about the trip.,Они были взволнованы поездкой.
429,429,I watched a movie last night.,Я смотрел фильм прошлой ночью.
430,430,We visited our friends last week.,Мы навестили наших друзей на прошлой неделе.
431,431,Where were you yesterday?,Где ты был вчера?
432,432,I am going home now.,Я сейчас иду домой.
433,433,She invited me to her party.,Она пригласила меня на свою вечеринку.
434,434,They are going to a concert tonight.,Они идут на концерт сегодня вечером.
435,435,Life is beautiful and full of surprises.,Жизнь прекрасна и полна сюрпризов.
436,436,He started a new life in another city.,Он начал новую жизнь в другом городе.
437,437,I want to move to a bigger house.,Я хочу переехать в больший дом.
438,438,We will arrive at noon.,Мы прибудем в полдень.
439,439,I need to decide what to wear.,"Мне нужно решить, что надеть."
440,440,I will clean my room today.,Я уберу свою комнату сегодня.
441,441,I need to wash my hands before dinner.,Мне нужно помыть руки перед ужином.
442,442,I will get the tickets tomorrow.,Я получу билеты завтра.
443,443,What do you want to eat?,Что ты хочешь поесть?
444,444,I want to see that movie.,Я хочу увидеть этот фильм.
