id,Слово,Перевод,Тип,Курс,Урок
51,fındık,"фундук, лещина",İSİMLER,A1,UNITE1
52,fırça,"щетка, кисть",İSİMLER,A1,UNITE1
53,film,фильм,İSİMLER,A1,UNITE1
54,Fransa,Франция,İSİMLER,A1,UNITE1
55,futbolcu,футболист,İSİMLER,A1,UNITE1
56,garson,официант,İSİMLER,A1,UNITE1
57,göz,глаз,İSİMLER,A1,UNITE1
58,gül,"роза, смех",İSİMLER,A1,UNITE1
59,güzel,"красивый, прекрасный",İSİMLER,A1,UNITE1
60,hâl,"состояние, положение",İSİMLER,A1,UNITE1
61,halı,ковер,İSİMLER,A1,UNITE1
62,hanım,госпожа,İSİMLER,A1,UNITE1
63,hastalık,болезнь,İSİMLER,A1,UNITE1
64,havuç,морковь,İSİMLER,A1,UNITE1
65,hayal,"мечта, фантазия",İSİMLER,A1,UNITE1
66,hemşire,"медсестра, сиделка",İSİMLER,A1,UNITE1
67,hiç,"никогда, вовсе, нисколько",İSİMLER,A1,UNITE1
68,ıspanak,шпинат,İSİMLER,A1,UNITE1
69,ızgara,"гриль, решетка",İSİMLER,A1,UNITE1
70,ideal,"идеал, идеальный",İSİMLER,A1,UNITE1
71,inek,корова,İSİMLER,A1,UNITE1
72,İngiltere,Англия,İSİMLER,A1,UNITE1
73,insan,человек,İSİMLER,A1,UNITE1
74,İspanya,Испания,İSİMLER,A1,UNITE1
75,iş,"работа, дело",İSİMLER,A1,UNITE1
76,İtalya,Италия,İSİMLER,A1,UNITE1
77,Japonya,Япония,İSİMLER,A1,UNITE1
78,jeton,"жетон, фишка",İSİMLER,A1,UNITE1
79,jilet,бритва,İSİMLER,A1,UNITE1
80,kadın,женщина,İSİMLER,A1,UNITE1
81,kafe,кафе,İSİMLER,A1,UNITE1
82,kahve,кофе,İSİMLER,A1,UNITE1
83,kalabalık,"толпа, скопление",İSİMLER,A1,UNITE1
84,kalem,"ручка, карандаш",İSİMLER,A1,UNITE1
85,kalp,сердце,İSİMLER,A1,UNITE1
86,kapı,дверь,İSİMLER,A1,UNITE1
87,kedi,"кот, кошка",İSİMLER,A1,UNITE1
88,kız,"девушка, дочь",İSİMLER,A1,UNITE1
89,kira,"арендная плата, съем",İSİMLER,A1,UNITE1
90,kişi,"человек, лицо, персона",İSİMLER,A1,UNITE1
91,kitap,книга,İSİMLER,A1,UNITE1
92,koltuk,"кресло, диван",İSİMLER,A1,UNITE1
93,Kore,Корея,İSİMLER,A1,UNITE1
94,köpek,"собака, пес",İSİMLER,A1,UNITE1
95,köy,деревня,İSİMLER,A1,UNITE1
96,kuş,птица,İSİMLER,A1,UNITE1
97,kutu,"коробка, банка",İSİMLER,A1,UNITE1
98,kütüphane,библиотека,İSİMLER,A1,UNITE1
99,lale,тюльпан,İSİMLER,A1,UNITE1
100,limon,лимон,İSİMLER,A1,UNITE1
101,lokanta,ресторан,İSİMLER,A1,UNITE1
102,lütfen,пожалуйста,İSİMLER,A1,UNITE1
103,mağaza,магазин,İSİMLER,A1,UNITE1
104,makas,ножницы,İSİMLER,A1,UNITE1
105,masa,стол,İSİMLER,A1,UNITE1
106,merdiven,лестница,İSİMLER,A1,UNITE1
107,meşgul,занятой,İSİMLER,A1,UNITE1
108,metro,метро,İSİMLER,A1,UNITE1
109,millet,"народ, нация",İSİMLER,A1,UNITE1
110,misal,пример,İSİMLER,A1,UNITE1
111,mühendis,инженер,İSİMLER,A1,UNITE1
112,nar,гранат,İSİMLER,A1,UNITE1
113,Nijerya,Нигерия,İSİMLER,A1,UNITE1
114,numara,"номер, цифра",İSİMLER,A1,UNITE1
115,oda,комната,İSİMLER,A1,UNITE1
116,orman,лес,İSİMLER,A1,UNITE1
117,otel,"гостиница, отель",İSİMLER,A1,UNITE1
118,otobüs,автобус,İSİMLER,A1,UNITE1
119,öğrenci,"ученик, студент",İSİMLER,A1,UNITE1
120,öğretmen,"учитель, преподаватель",İSİMLER,A1,UNITE1
121,ördek,утка,İSİMLER,A1,UNITE1
122,paket,"пакет, упаковка",İSİMLER,A1,UNITE1
123,para,деньги,İSİMLER,A1,UNITE1
124,pardösü,пальто,İSİMLER,A1,UNITE1
125,park,парк,İSİMLER,A1,UNITE1
126,patates,картофель,İSİMLER,A1,UNITE1
127,pencere,окно,İSİMLER,A1,UNITE1
128,petrol,нефть,İSİMLER,A1,UNITE1
129,piyano,пианино,İSİMLER,A1,UNITE1
130,polis,"полиция, полицейский",İSİMLER,A1,UNITE1
131,portakal,апельсин,İSİMLER,A1,UNITE1
132,postacı,почтальон,İSİMLER,A1,UNITE1
133,radyo,радио,İSİMLER,A1,UNITE1
134,resim,"рисунок, картина",İSİMLER,A1,UNITE1
135,rol,роль,İSİMLER,A1,UNITE1
136,roman,роман,İSİMLER,A1,UNITE1
137,Rusya,Россия,İSİMLER,A1,UNITE1
138,saat,"час, часы",İSİMLER,A1,UNITE1
139,saç,волосы,İSİMLER,A1,UNITE1
140,salon,"зал, гостиная",İSİMLER,A1,UNITE1
141,sandalye,стул,İSİMLER,A1,UNITE1
142,sembol,символ,İSİMLER,A1,UNITE1
143,seyahat,путешествие,İSİMLER,A1,UNITE1
144,sıra,"очередь, ряд",İSİMLER,A1,UNITE1
145,silgi,ластик,İSİMLER,A1,UNITE1
146,sokak,улица,İSİMLER,A1,UNITE1
147,soru,вопрос,İSİMLER,A1,UNITE1
148,sorun,"проблема, вопрос",İSİMLER,A1,UNITE1
149,sözlük,словарь,İSİMLER,A1,UNITE1
150,Suriye,Сирия,İSİMLER,A1,UNITE1
151,şarkıcı,"певец, певица",İSİMLER,A1,UNITE1
152,şemsiye,зонт,İSİMLER,A1,UNITE1
153,şişe,бутылка,İSİMLER,A1,UNITE1
154,tahta,"доска, дерево",İSİMLER,A1,UNITE1
155,tavuk,курица,İSİMLER,A1,UNITE1
156,telefon,телефон,İSİMLER,A1,UNITE1
157,temiz,чистый,İSİMLER,A1,UNITE1
158,top,"мяч, шар",İSİMLER,A1,UNITE1
159,turist,турист,İSİMLER,A1,UNITE1
160,Türkiye,Турция,İSİMLER,A1,UNITE1
161,uçak,самолет,İSİMLER,A1,UNITE1
162,uçurtma,воздушный змей,İSİMLER,A1,UNITE1
163,üzüm,виноград,İSİMLER,A1,UNITE1
164,vagon,вагон,İSİMLER,A1,UNITE1
165,vazo,ваза,İSİMLER,A1,UNITE1
166,yabancı,"иностранец, чужой, иностранный, посторонний",İSİMLER,A1,UNITE1
167,yemek,"еда, блюдо",İSİMLER,A1,UNITE1
168,yeni yıl,новый год,İSİMLER,A1,UNITE1
169,yıldız,звезда,İSİMLER,A1,UNITE1
170,yüzük,кольцо,İSİMLER,A1,UNITE1
171,zeytin,"оливка, маслина",İSİMLER,A1,UNITE1
172,zürafa,жираф,İSİMLER,A1,UNITE1
173,etmek,"делать, совершать",FİİLLER,A1,UNITE1
174,gelmek,"приходить, прибывать",FİİLLER,A1,UNITE1
175,görüşmek,"видеться, встречаться, обсуждать",FİİLLER,A1,UNITE1
176,olmak,"быть, становиться",FİİLLER,A1,UNITE1
177,Affedersiniz.,Извините.,KALIP İFADELER,A1,UNITE1
178,Afiyet olsun.,Приятного аппетита.,KALIP İFADELER,A1,UNITE1
179,Bol şanslar.,Удачи.,KALIP İFADELER,A1,UNITE1
180,Çok yaşa.,Будь здоров / Будьте здоровы.,KALIP İFADELER,A1,UNITE1
181,Geçmiş olsun.,Выздоравливай / Поправляйся.,KALIP İFADELER,A1,UNITE1
182,Görüşürüz / Görüşmek üzere.,До встречи.,KALIP İFADELER,A1,UNITE1
183,Güle güle.,Пока.,KALIP İFADELER,A1,UNITE1
184,Günaydın.,Доброе утро.,KALIP İFADELER,A1,UNITE1
185,Hoş bulduk.,Добро пожаловать (в ответ).,KALIP İFADELER,A1,UNITE1
186,Hoş geldin.,Добро пожаловать.,KALIP İFADELER,A1,UNITE1
187,Hoşça kal.,До свидания.,KALIP İFADELER,A1,UNITE1
188,Lütfen.,Пожалуйста.,KALIP İFADELER,A1,UNITE1
189,Merhaba.,Здравствуйте.,KALIP İFADELER,A1,UNITE1
190,Özür dilerim.,Прошу прощения.,KALIP İFADELER,A1,UNITE1
191,Rica ederim.,"Пожалуйста (в ответ), не за что.",KALIP İFADELER,A1,UNITE1
192,Tamam.,"Хорошо, ладно.",KALIP İFADELER,A1,UNITE1
193,Tebrikler.,Поздравляю.,KALIP İFADELER,A1,UNITE1
194,Üzgünüm.,Мне жаль.,KALIP İFADELER,A1,UNITE1
195,aç,"голодный, голод",İSİMLER,A1,UNITE2
196,açık,"открытый, понятный, включенный",İSİMLER,A1,UNITE2
197,adres,адрес,İSİMLER,A1,UNITE2
198,akşam,вечер,İSİMLER,A1,UNITE2
199,alışveriş,"покупки, шопинг",İSİMLER,A1,UNITE2
200,alışveriş merkezi,торговый центр,İSİMLER,A1,UNITE2
201,alt,"низ, нижний",İSİMLER,A1,UNITE2
202,anahtar,ключ,İSİMLER,A1,UNITE2
203,artı,плюс,İSİMLER,A1,UNITE2
204,ay,"месяц, луна",İSİMLER,A1,UNITE2
14,banka,банк,İSİMLER,A1,UNITE2
205,başarılı,успешный,İSİMLER,A1,UNITE2
206,bekâr,"холостяк, незамужняя, неженатый",İSİMLER,A1,UNITE2
207,bina,здание,İSİMLER,A1,UNITE2
208,birçok,"много, множество",İSİMLER,A1,UNITE2
209,boş,"пустой, свободный",İSİMLER,A1,UNITE2
210,bölü,делить,İSİMLER,A1,UNITE2
211,bugün,сегодня,İSİMLER,A1,UNITE2
212,burada,"здесь, тут",İSİMLER,A1,UNITE2
213,bütün,"весь, целый",İSİMLER,A1,UNITE2
214,cesur,"смелый, храбрый",İSİMLER,A1,UNITE2
215,ciddi,серьезный,İSİMLER,A1,UNITE2
216,çalışkan,"трудолюбивый, усердный",İSİMLER,A1,UNITE2
217,çarpı,умножить,İSİMLER,A1,UNITE2
218,çirkin,"некрасивый, уродливый",İSİMLER,A1,UNITE2
219,çöp kutusu,"мусорное ведро, урна",İSİMLER,A1,UNITE2
220,çünkü,потому что,İSİMLER,A1,UNITE2
221,dağınık,"неаккуратный, беспорядочный",İSİMLER,A1,UNITE2
222,dar,"узкий, тесный",İSİMLER,A1,UNITE2
223,dergi,журнал,İSİMLER,A1,UNITE2
224,dikkatli,"внимательный, осторожный",İSİMLER,A1,UNITE2
225,dikkatsiz,"невнимательный, неосторожный",İSİMLER,A1,UNITE2
226,doğum tarihi,дата рождения,İSİMLER,A1,UNITE2
227,dolu,полный,İSİMLER,A1,UNITE2
228,domates,помидор,İSİMLER,A1,UNITE2
229,dosya,"файл, папка",İSİMLER,A1,UNITE2
230,durak,остановка,İSİMLER,A1,UNITE2
231,duvar,стена,İSİMLER,A1,UNITE2
232,düzenli,"аккуратный, организованный, регулярный",İSİMLER,A1,UNITE2
233,eczacı,"фармацевт, аптекарь",İSİMLER,A1,UNITE2
234,eğlenceli,"веселый, занимательный, интересный",İSİMLER,A1,UNITE2
235,eksi,"минус, отрицательный",İSİMLER,A1,UNITE2
236,evli,"женатый, замужняя",İSİMLER,A1,UNITE2
237,fakir,бедный,İSİMLER,A1,UNITE2
238,fark,"разница, различие",İSİMLER,A1,UNITE2
239,fırın,"печь, пекарня, духовка",İSİMLER,A1,UNITE2
240,gazete,газета,İSİMLER,A1,UNITE2
241,genç,"молодой, юный",İSİMLER,A1,UNITE2
242,genellikle,"обычно, как правило",İSİMLER,A1,UNITE2
243,geniş,"широкий, просторный",İSİMLER,A1,UNITE2
244,güçlü,"сильный, мощный",İSİMLER,A1,UNITE2
245,güçsüz,"слабый, бессильный",İSİMLER,A1,UNITE2
246,gün,день,İSİMLER,A1,UNITE2
247,gündüz,"день, дневное время",İSİMLER,A1,UNITE2
248,hafta sonu,выходные,İSİMLER,A1,UNITE2
249,hasta,"больной, пациент",İSİMLER,A1,UNITE2
250,hastane,больница,İSİMLER,A1,UNITE2
251,her,каждый,İSİMLER,A1,UNITE2
252,her zaman,всегда,İSİMLER,A1,UNITE2
253,hızlı,"быстрый, скорый",İSİMLER,A1,UNITE2
254,içecek,напиток,İSİMLER,A1,UNITE2
255,istasyon,"станция, вокзал",İSİMLER,A1,UNITE2
256,iyi,хороший,İSİMLER,A1,UNITE2
257,kaç,сколько?,İSİMLER,A1,UNITE2
258,kaçıncı,"сколько, который (по счету)",İSİMLER,A1,UNITE2
259,kantin,"столовая, буфет",İSİMLER,A1,UNITE2
260,kapalı,закрытый,İSİMLER,A1,UNITE2
261,kasap,мясник,İSİMLER,A1,UNITE2
262,kasiyer,кассир,İSİMLER,A1,UNITE2
263,kat,"этаж, слой",İSİMLER,A1,UNITE2
264,kırmızı,красный,İSİMLER,A1,UNITE2
265,kıskanç,"ревнивый, завистливый",İSİMLER,A1,UNITE2
266,kibar,"вежливый, любезный",İSİMLER,A1,UNITE2
267,kilo,"килограмм, вес",İSİMLER,A1,UNITE2
268,kitaplık,"книжный шкаф, библиотека",İSİMLER,A1,UNITE2
269,kolay,"легкий, простой",İSİMLER,A1,UNITE2
270,komik,"смешной, комичный",İSİMLER,A1,UNITE2
271,konuşkan,"разговорчивый, общительный",İSİMLER,A1,UNITE2
272,koridor,коридор,İSİMLER,A1,UNITE2
273,kötü,"плохой, злой",İSİMLER,A1,UNITE2
274,kuaför,парикмахер,İSİMLER,A1,UNITE2
275,kuyumcu,ювелир,İSİMLER,A1,UNITE2
276,lamba,лампа,İSİMLER,A1,UNITE2
277,mahalle,"квартал, район",İSİMLER,A1,UNITE2
278,manav,"овощной магазин, зеленщик",İSİMLER,A1,UNITE2
279,market,"магазин, рынок",İSİMLER,A1,UNITE2
280,mutfak,кухня,İSİMLER,A1,UNITE2
281,mutlu,"счастливый, довольный",İSİMLER,A1,UNITE2
282,mutsuz,"несчастный, недовольный",İSİMLER,A1,UNITE2
283,nerede,где,İSİMLER,A1,UNITE2
284,nesne,"предмет, вещь",İSİMLER,A1,UNITE2
285,niçin,"почему, зачем",İSİMLER,A1,UNITE2
286,ocak,"январь, плита",İSİMLER,A1,UNITE2
287,ofis,офис,İSİMLER,A1,UNITE2
288,orada,там,İSİMLER,A1,UNITE2
289,öğleden sonra,"после полудня, послеобеденное время",İSİMLER,A1,UNITE2
290,önemli,"важный, значительный",İSİMLER,A1,UNITE2
291,önemsiz,"неважный, незначительный",İSİMLER,A1,UNITE2
292,pahalı,дорогой,İSİMLER,A1,UNITE2
293,pastane,кондитерская,İSİMLER,A1,UNITE2
294,pembe,розовый,İSİMLER,A1,UNITE2
295,postane,почта,İSİMLER,A1,UNITE2
296,projektör,проектор,İSİMLER,A1,UNITE2
297,psikolog,психолог,İSİMLER,A1,UNITE2
298,resepsiyonist,"администратор, секретарь (на ресепшене)",İSİMLER,A1,UNITE2
299,sabah,утро,İSİMLER,A1,UNITE2
300,sakin,"спокойный, тихий",İSİMLER,A1,UNITE2
301,sayı,"число, цифра",İSİMLER,A1,UNITE2
302,sehpa,журнальный столик,İSİMLER,A1,UNITE2
303,sekreter,секретарь,İSİMLER,A1,UNITE2
304,semt,"район, квартал",İSİMLER,A1,UNITE2
305,sessiz,"тихий, молчаливый",İSİMLER,A1,UNITE2
306,sıcak,"горячий, теплый",İSİMLER,A1,UNITE2
307,sıfat,прилагательное,İSİMLER,A1,UNITE2
308,sinirli,"нервный, раздражительный",İSİMLER,A1,UNITE2
309,sosyal,"социальный, общительный",İSİMLER,A1,UNITE2
310,soyadı,фамилия,İSİMLER,A1,UNITE2
311,şehir,город,İSİMLER,A1,UNITE2
312,şimdi,сейчас,İSİMLER,A1,UNITE2
313,şişman,"толстый, полный",İSİMLER,A1,UNITE2
314,tabak,тарелка,İSİMLER,A1,UNITE2
315,tarih,"дата, история",İSİMLER,A1,UNITE2
316,tatil,"отпуск, праздник, каникулы",İSİMLER,A1,UNITE2
317,tehlikeli,опасный,İSİMLER,A1,UNITE2
318,tembel,ленивый,İSİMLER,A1,UNITE2
319,tezgâhtar,продавец,İSİMLER,A1,UNITE2
320,tuzlu,соленый,İSİMLER,A1,UNITE2
321,ucuz,дешевый,İSİMLER,A1,UNITE2
322,uzak,"далекий, удаленный",İSİMLER,A1,UNITE2
323,üst,"верх, верхний",İSİMLER,A1,UNITE2
324,var,"есть, имеется",İSİMLER,A1,UNITE2
325,yakın,"близкий, рядом",İSİMLER,A1,UNITE2
326,yastık,подушка,İSİMLER,A1,UNITE2
327,yaş,"возраст, лет, мокрый",İSİMLER,A1,UNITE2
328,yaşlı,"старый, пожилой",İSİMLER,A1,UNITE2
329,yavaş,медленный,İSİMLER,A1,UNITE2
330,yazı tahtası,классная доска,İSİMLER,A1,UNITE2
331,yer,"место, пространство",İSİMLER,A1,UNITE2
332,yıl,год,İSİMLER,A1,UNITE2
333,yiyecek,"еда, продукты",İSİMLER,A1,UNITE2
334,yoğun,"густой, плотный, занятой",İSİMLER,A1,UNITE2
335,yok,"нет, отсутствует",İSİMLER,A1,UNITE2
336,yorgun,усталый,İSİMLER,A1,UNITE2
337,zamir,местоимение,İSİMLER,A1,UNITE2
338,zayıf,"слабый, худой",İSİMLER,A1,UNITE2
339,zengin,богатый,İSİMLER,A1,UNITE2
340,aramak,"искать, звонить",FİİLLER,A1,UNITE2
341,açık büfe,"свободный доступ, шведский стол",İSİMLER,A1,UNITE3
342,anne,мама,İSİMLER,A1,UNITE3
343,aynı,"тот же самый, одинаковый",İSİMLER,A1,UNITE3
344,bale,балет,İSİMLER,A1,UNITE3
345,bavul,"чемодан, багаж",İSİMLER,A1,UNITE3
346,beraber,"вместе, совместно",İSİMLER,A1,UNITE3
347,biletçi,"билетер, кассир",İSİMLER,A1,UNITE3
348,bilgisayar oyunu,компьютерная игра,İSİMLER,A1,UNITE3
349,borç,долг,İSİMLER,A1,UNITE3
350,boş zaman,свободное время,İSİMLER,A1,UNITE3
351,büfe,"буфет, стойка, киоск",İSİMLER,A1,UNITE3
352,cevap,ответ,İSİMLER,A1,UNITE3
353,dans,танец,İSİMLER,A1,UNITE3
354,değişik,"разный, другой, различный",İSİMLER,A1,UNITE3
355,dışarı,"наружу, снаружи, вовне",İSİMLER,A1,UNITE3
356,dizi,"сериал, ряд, последовательность",İSİMLER,A1,UNITE3
357,ekonomi,экономика,İSİMLER,A1,UNITE3
358,erken,рано,İSİMLER,A1,UNITE3
359,eski,"старый, бывший, прежний, древний",İSİMLER,A1,UNITE3
360,eş,"супруг, супруга, пара, ровня",İSİMLER,A1,UNITE3
361,ev hanımı,домохозяйка,İSİMLER,A1,UNITE3
362,fabrika,"фабрика, завод",İSİMLER,A1,UNITE3
363,farklı,"различный, другой, отличающийся",İSİMLER,A1,UNITE3
364,fikir,"идея, мысль, мнение",İSİMLER,A1,UNITE3
53,film,фильм,İSİMLER,A1,UNITE3
365,futbol,футбол,İSİMLER,A1,UNITE3
366,futbol maçı,футбольный матч,İSİMLER,A1,UNITE3
367,geç,поздно,İSİMLER,A1,UNITE3
368,gezi,"экскурсия, поездка, путешествие",İSİMLER,A1,UNITE3
369,gitar,гитара,İSİMLER,A1,UNITE3
370,gösteri,"шоу, представление, демонстрация",İSİMLER,A1,UNITE3
371,hafta içi,будний день,İSİMLER,A1,UNITE3
372,hava,"погода, воздух",İSİMLER,A1,UNITE3
373,hayat,жизнь,İSİMLER,A1,UNITE3
374,hazır,"готовый, подготовленный",İSİMLER,A1,UNITE3
375,hediye,подарок,İSİMLER,A1,UNITE3
376,heyecanlı,"взволнованный, возбужденный, волнующий, захватывающий",İSİMLER,A1,UNITE3
377,hiçbir zaman,никогда,İSİMLER,A1,UNITE3
378,hukuk,"право, юриспруденция, закон",İSİMLER,A1,UNITE3
379,içeri,"внутрь, внутрь, вовнутрь",İSİMLER,A1,UNITE3
380,iş yeri,рабочее место,İSİMLER,A1,UNITE3
381,işadamı,бизнесмен,İSİMLER,A1,UNITE3
382,işçi,рабочий,İSİMLER,A1,UNITE3
383,kampus,кампус,İSİMLER,A1,UNITE3
384,kanepe,диван,İSİMLER,A1,UNITE3
385,kebap,кебаб,İSİMLER,A1,UNITE3
386,kızgın,"злой, сердитый, разгневанный",İSİMLER,A1,UNITE3
387,konser,концерт,İSİMLER,A1,UNITE3
388,kulüp,клуб,İSİMLER,A1,UNITE3
389,litre,литр,İSİMLER,A1,UNITE3
390,maç,"матч, игра",İSİMLER,A1,UNITE3
391,memur,"служащий, чиновник, клерк",İSİMLER,A1,UNITE3
392,mp3 çalar,mp3-плеер,İSİMLER,A1,UNITE3
393,müsait,"свободный, доступный, имеющийся в наличии",İSİMLER,A1,UNITE3
394,müşteri,"клиент, покупатель, заказчик",İSİMLER,A1,UNITE3
395,nefes,"дыхание, вздох",İSİMLER,A1,UNITE3
396,normal,"нормальный, обычный, нормальный",İSİMLER,A1,UNITE3
397,opera,опера,İSİMLER,A1,UNITE3
398,öğlen,полдень,İSİMLER,A1,UNITE3
399,öğrenci işleri,отдел по работе со студентами,İSİMLER,A1,UNITE3
400,pijama,пижама,İSİMLER,A1,UNITE3
401,restoran,ресторан,İSİMLER,A1,UNITE3
402,sabahları,по утрам,İSİMLER,A1,UNITE3
403,sağlıklı,"здоровый, полезный",İSİMLER,A1,UNITE3
404,sefer,"рейс, попытка, раз",İSİMLER,A1,UNITE3
405,sergi,"выставка, экспозиция",İSİMLER,A1,UNITE3
406,site,"жилой комплекс, сайт, местность",İSİMLER,A1,UNITE3
407,şarkı,песня,İSİMLER,A1,UNITE3
408,şiir,"стихотворение, поэзия",İSİMLER,A1,UNITE3
409,terlik,тапочки,İSİMLER,A1,UNITE3
410,tiyatro,театр,İSİMLER,A1,UNITE3
411,tur,"тур, поездка, экскурсия",İSİMLER,A1,UNITE3
412,tür,"вид, тип, сорт",İSİMLER,A1,UNITE3
413,uygun,"подходящий, удобный",İSİMLER,A1,UNITE3
414,vapur,паром,İSİMLER,A1,UNITE3
415,yalan,"ложь, неправда",İSİMLER,A1,UNITE3
416,yanlış,"неправильный, ошибочный",İSİMLER,A1,UNITE3
417,yemekhane,"столовая, зал для приема пищи",İSİMLER,A1,UNITE3
418,yeni,"новый, молодой",İSİMLER,A1,UNITE3
419,yolcu,"пассажир, путешественник",İSİMLER,A1,UNITE3
420,yorum,"комментарий, отзыв, толкование",İSİMLER,A1,UNITE3
421,yurt,"общежитие, родина",İSİMLER,A1,UNITE3
422,zaman,время,İSİMLER,A1,UNITE3
423,açmak,"открывать, включать, зажигать",FİİLLER,A1,UNITE3
424,anlamak,понимать,FİİLLER,A1,UNITE3
425,bakmak,"смотреть, ухаживать, проверять",FİİLLER,A1,UNITE3
426,banyo yapmak,принимать ванну,FİİLLER,A1,UNITE3
427,başlamak,начинать,FİİLLER,A1,UNITE3
428,bayılmak,"падать в обморок, обожать",FİİLLER,A1,UNITE3
429,beslenmek,"питаться, кормиться",FİİLLER,A1,UNITE3
430,bilmek,знать,FİİLLER,A1,UNITE3
431,binmek,"садиться, садиться (на транспорт), взбираться",FİİLLER,A1,UNITE3
432,biriktirmek,"собирать, накапливать, коллекционировать",FİİLLER,A1,UNITE3
433,bitmek,"заканчиваться, кончаться",FİİLLER,A1,UNITE3
434,buluşmak,"встречаться, свидание",FİİLLER,A1,UNITE3
435,çalışmak,"работать, стараться, играть (на инструменте)",FİİLLER,A1,UNITE3
436,çıkmak,"выходить, появляться, подниматься, сходить",FİİLLER,A1,UNITE3
437,demek,"говорить, означать",FİİLLER,A1,UNITE3
438,dinlemek,слушать,FİİLLER,A1,UNITE3
439,dinlenmek,отдыхать,FİİLLER,A1,UNITE3
440,dolaşmak,"гулять, бродить, вращаться",FİİLLER,A1,UNITE3
441,dönmek,"возвращаться, поворачивать",FİİLLER,A1,UNITE3
442,durmak,"стоять, останавливаться",FİİLLER,A1,UNITE3
443,duş almak,принимать душ,FİİLLER,A1,UNITE3
444,fotoğraf çekmek,фотографировать,FİİLLER,A1,UNITE3
445,geçmek,"проходить, проезжать, сдавать (экзамен)",FİİLLER,A1,UNITE3
446,gezmek,"путешествовать, гулять, осматривать",FİİLLER,A1,UNITE3
447,girmek,"входить, поступать",FİİLLER,A1,UNITE3
448,gitmek,"идти, ехать",FİİLLER,A1,UNITE3
449,hazırlamak,"готовить, подготавливать",FİİLLER,A1,UNITE3
450,hazırlanmak,"готовиться, собираться",FİİLLER,A1,UNITE3
451,hoşlanmak,"нравиться, любить",FİİLLER,A1,UNITE3
452,internete girmek,"выходить в интернет, заходить в интернет",FİİLLER,A1,UNITE3
453,izlemek,"смотреть, наблюдать, следить",FİİLLER,A1,UNITE3
454,kahvaltı etmek,завтракать,FİİLLER,A1,UNITE3
455,kalkmak,"вставать, подниматься",FİİLLER,A1,UNITE3
456,kalmak,"оставаться, останавливаться",FİİLLER,A1,UNITE3
457,kapatmak,"закрывать, выключать",FİİLLER,A1,UNITE3
458,kontrol etmek,"проверять, контролировать",FİİLLER,A1,UNITE3
459,konuşmak,"говорить, разговаривать",FİİLLER,A1,UNITE3
460,korkmak,"бояться, пугаться",FİİLLER,A1,UNITE3
