id,Слово,Перевод,Тип,Курс,Урок
204,domingo,воскресенье,İSİMLER,A1,UNIDAD5
205,hora,час,İSİMLER,A1,UNIDAD5
206,minuto,минута,İSİMLER,A1,UNIDAD5
207,siempre,всегда,ZARFLAR,A1,UNIDAD5
208,a veces,иногда,KALIP İFADELER,A1,UNIDAD5
209,nunca,никогда,ZARFLAR,A1,UNIDAD5
210,todos los días,каждый день,KALIP İFADELER,A1,UNIDAD5
211,comida,еда,İSİMLER,A1,UNIDAD6
212,bebida,напиток,İSİMLER,A1,UNIDAD6
213,desayuno,завтрак,İSİMLER,A1,UNIDAD6
214,almuerzo,обед,İSİMLER,A1,UNIDAD6
215,cena,ужин,İSİMLER,A1,UNIDAD6
216,pan,хлеб,İSİMLER,A1,UNIDAD6
217,aceite,масло (оливковое),İSİMLER,A1,UNIDAD6
218,sal,соль,İSİMLER,A1,UNIDAD6
219,azúcar,сахар,İSİMLER,A1,UNIDAD6
220,leche,молоко,İSİMLER,A1,UNIDAD6
221,agua,вода,İSİMLER,A1,UNIDAD6
222,té,чай,İSİMLER,A1,UNIDAD6
223,zumo,сок,İSİMLER,A1,UNIDAD6
224,vino,вино,İSİMLER,A1,UNIDAD6
225,cerveza,пиво,İSİMLER,A1,UNIDAD6
226,fruta,фрукты,İSİMLER,A1,UNIDAD6
227,manzana,яблоко,İSİMLER,A1,UNIDAD6
228,naranja,апельсин,İSİMLER,A1,UNIDAD6
229,plátano,банан,İSİMLER,A1,UNIDAD6
230,uva,виноград,İSİMLER,A1,UNIDAD6
231,fresa,клубника,İSİMLER,A1,UNIDAD6
232,verdura,овощи,İSİMLER,A1,UNIDAD6
233,tomate,помидор,İSİMLER,A1,UNIDAD6
234,patata,картофель,İSİMLER,A1,UNIDAD6
235,cebolla,лук,İSİMLER,A1,UNIDAD6
236,ajo,чеснок,İSİMLER,A1,UNIDAD6
237,lechuga,салат-латук,İSİMLER,A1,UNIDAD6
238,carne,мясо,İSİMLER,A1,UNIDAD6
239,pollo,курица,İSİMLER,A1,UNIDAD6
240,pescado,рыба,İSİMLER,A1,UNIDAD6
241,huevo,яйцо,İSİMLER,A1,UNIDAD6
242,queso,сыр,İSİMLER,A1,UNIDAD6
243,arroz,рис,İSİMLER,A1,UNIDAD6
244,pasta,паста,İSİMLER,A1,UNIDAD6
245,sopa,суп,İSİMLER,A1,UNIDAD6
246,ensalada,салат,İSİMLER,A1,UNIDAD6
247,comer,есть,FİİLLER,A1,UNIDAD6
248,beber,пить,FİİLLER,A1,UNIDAD6
249,probar,пробовать,FİİLLER,A1,UNIDAD6
250,pedir,"заказывать, просить",FİİLLER,A1,UNIDAD6
251,cuenta,счёт,İSİMLER,A1,UNIDAD6
252,rico,"вкусный, богатый",SIFATLAR,A1,UNIDAD6
253,dulce,сладкий,SIFATLAR,A1,UNIDAD6
254,salado,солёный,SIFATLAR,A1,UNIDAD6
255,picante,острый,SIFATLAR,A1,UNIDAD6
256,ropa,одежда,İSİMLER,A1,UNIDAD7
257,camisa,рубашка,İSİMLER,A1,UNIDAD7
258,camiseta,футболка,İSİMLER,A1,UNIDAD7
259,pantalón,брюки,İSİMLER,A1,UNIDAD7
260,vaqueros,джинсы,İSİMLER,A1,UNIDAD7
261,falda,юбка,İSİMLER,A1,UNIDAD7
262,vestido,платье,İSİMLER,A1,UNIDAD7
263,chaqueta,"пиджак, куртка",İSİMLER,A1,UNIDAD7
264,abrigo,пальто,İSİMLER,A1,UNIDAD7
265,zapatos,туфли,İSİMLER,A1,UNIDAD7
266,botas,ботинки,İSİMLER,A1,UNIDAD7
267,zapatillas,"кроссовки, тапочки",İSİMLER,A1,UNIDAD7
268,sombrero,шляпа,İSİMLER,A1,UNIDAD7
269,gorra,кепка,İSİMLER,A1,UNIDAD7
270,bufanda,шарф,İSİMLER,A1,UNIDAD7
271,guantes,перчатки,İSİMLER,A1,UNIDAD7
272,calcetines,носки,İSİMLER,A1,UNIDAD7
273,color,цвет,İSİMLER,A1,UNIDAD7
274,rojo,красный,SIFATLAR,A1,UNIDAD7
275,azul,синий,SIFATLAR,A1,UNIDAD7
276,verde,зелёный,SIFATLAR,A1,UNIDAD7
277,amarillo,жёлтый,SIFATLAR,A1,UNIDAD7
278,negro,чёрный,SIFATLAR,A1,UNIDAD7
279,blanco,белый,SIFATLAR,A1,UNIDAD7
280,gris,серый,SIFATLAR,A1,UNIDAD7
281,marrón,коричневый,SIFATLAR,A1,UNIDAD7
282,rosa,розовый,SIFATLAR,A1,UNIDAD7
283,llevar,носить (одежду),FİİLLER,A1,UNIDAD7
284,ponerse,надевать,FİİLLER,A1,UNIDAD7
285,quitarse,снимать,FİİLLER,A1,UNIDAD7
286,comprar,покупать,FİİLLER,A1,UNIDAD7
287,vender,продавать,FİİLLER,A1,UNIDAD7
288,pagar,платить,FİİLLER,A1,UNIDAD7
289,costar,стоить,FİİLLER,A1,UNIDAD7
290,barato,дешёвый,SIFATLAR,A1,UNIDAD7
291,caro,дорогой,SIFATLAR,A1,UNIDAD7
292,talla,размер,İSİMLER,A1,UNIDAD7
293,rebajas,скидки,İSİMLER,A1,UNIDAD7
294,probador,примерочная,İSİMLER,A1,UNIDAD7
295,tarjeta,карта,İSİMLER,A1,UNIDAD7
296,descripción,описание,İSİMLER,A1,UNIDAD8
297,pelo,волосы,İSİMLER,A1,UNIDAD8
298,ojos,глаза,İSİMLER,A1,UNIDAD8
299,alto,высокий,SIFATLAR,A1,UNIDAD8
300,bajo,низкий,SIFATLAR,A1,UNIDAD8
301,delgado,худой,SIFATLAR,A1,UNIDAD8
302,gordo,полный,SIFATLAR,A1,UNIDAD8
303,joven,молодой,SIFATLAR,A1,UNIDAD8
304,mayor,"старший, пожилой",SIFATLAR,A1,UNIDAD8
305,simpático,"милый, приятный",SIFATLAR,A1,UNIDAD8
306,antipático,неприятный,SIFATLAR,A1,UNIDAD8
307,inteligente,умный,SIFATLAR,A1,UNIDAD8
308,divertido,весёлый,SIFATLAR,A1,UNIDAD8
309,serio,серьёзный,SIFATLAR,A1,UNIDAD8
310,tímido,застенчивый,SIFATLAR,A1,UNIDAD8
311,extrovertido,экстраверт,SIFATLAR,A1,UNIDAD8
312,trabajador,трудолюбивый,SIFATLAR,A1,UNIDAD8
313,perezoso,ленивый,SIFATLAR,A1,UNIDAD8
314,amable,любезный,SIFATLAR,A1,UNIDAD8
315,carácter,характер,İSİMLER,A1,UNIDAD8
316,parecer,казаться,FİİLLER,A1,UNIDAD8
317,llevar gafas,носить очки,KALIP İFADELER,A1,UNIDAD8
318,barba,борода,İSİMLER,A1,UNIDAD8
319,bigote,усы,İSİMLER,A1,UNIDAD8
320,sonrisa,улыбка,İSİMLER,A1,UNIDAD8
321,cuerpo,тело,İSİMLER,A1,UNIDAD8
322,cabeza,голова,İSİMLER,A1,UNIDAD8
323,mano,рука (кисть),İSİMLER,A1,UNIDAD8
324,pie,нога (ступня),İSİMLER,A1,UNIDAD8
325,experiencia,опыт,İSİMLER,A1,UNIDAD9
326,visitar,посещать,FİİLLER,A1,UNIDAD9
327,conocer,"знать, знакомиться",FİİLLER,A1,UNIDAD9
328,hacer,делать,FİİLLER,A1,UNIDAD9
329,salir,выходить,FİİLLER,A1,UNIDAD9
330,llegar,прибывать,FİİLLER,A1,UNIDAD9
331,pasar,"проводить, происходить",FİİLLER,A1,UNIDAD9
332,algunas veces,иногда,KALIP İFADELER,A1,UNIDAD9
333,alguna vez,когда-нибудь,KALIP İFADELER,A1,UNIDAD9
334,todavía no,ещё не,KALIP İFADELER,A1,UNIDAD9
335,ya,уже,ZARFLAR,A1,UNIDAD9
336,última vez,последний раз,İSİMLER,A1,UNIDAD9
337,finde,выходные,İSİMLER,A1,UNIDAD9
338,vacaciones,"каникулы, отпуск",İSİMLER,A1,UNIDAD9
339,fiesta,"праздник, вечеринка",İSİMLER,A1,UNIDAD9
340,cumpleaños,день рождения,İSİMLER,A1,UNIDAD9
341,regalo,подарок,İSİMLER,A1,UNIDAD9
342,foto,фото,İSİMLER,A1,UNIDAD9
343,recuerdo,"сувенир, воспоминание",İSİMLER,A1,UNIDAD9
344,año pasado,прошлый год,İSİMLER,A1,UNIDAD9
345,lengua,язык,İSİMLER,A2,UNIDAD1
346,acento,акцент,İSİMLER,A2,UNIDAD1
347,pronunciación,произношение,İSİMLER,A2,UNIDAD1
348,vocabulario,словарный запас,İSİMLER,A2,UNIDAD1
349,gramática,грамматика,İSİMLER,A2,UNIDAD1
350,traducir,переводить,FİİLLER,A2,UNIDAD1
351,entender,понимать,FİİLLER,A2,UNIDAD1
352,explicar,объяснять,FİİLLER,A2,UNIDAD1
353,repetir,повторять,FİİLLER,A2,UNIDAD1
354,equivocarse,ошибаться,FİİLLER,A2,UNIDAD1
355,mejorar,улучшать(ся),FİİLLER,A2,UNIDAD1
356,practicar,практиковать,FİİLLER,A2,UNIDAD1
357,dificultad,трудность,İSİMLER,A2,UNIDAD1
358,fácil,лёгкий,SIFATLAR,A2,UNIDAD1
359,difícil,трудный,SIFATLAR,A2,UNIDAD1
360,fluido,беглый,SIFATLAR,A2,UNIDAD1
361,nativo,"носитель, родной",SIFATLAR,A2,UNIDAD1
362,bilingüe,двуязычный,SIFATLAR,A2,UNIDAD1
363,sentirse,чувствовать себя,FİİLLER,A2,UNIDAD1
364,emoción,эмоция,İSİMLER,A2,UNIDAD1
365,alegría,радость,İSİMLER,A2,UNIDAD1
366,tristeza,грусть,İSİMLER,A2,UNIDAD1
367,miedo,страх,İSİMLER,A2,UNIDAD1
368,rabia,ярость,İSİMLER,A2,UNIDAD1
369,nervioso,нервный,SIFATLAR,A2,UNIDAD1
370,tranquilo,спокойный,SIFATLAR,A2,UNIDAD1
371,enfadado,злой,SIFATLAR,A2,UNIDAD1
372,contento,довольный,SIFATLAR,A2,UNIDAD1
373,llevarse bien,ладить,FİİLLER,A2,UNIDAD1
374,caer bien,нравиться (о человеке),FİİLLER,A2,UNIDAD1
375,biografía,биография,İSİMLER,A2,UNIDAD2
376,nacer,рождаться,FİİLLER,A2,UNIDAD2
377,crecer,расти,FİİLLER,A2,UNIDAD2
378,graduarse,заканчивать вуз,FİİLLER,A2,UNIDAD2
379,casarse,жениться,FİİLLER,A2,UNIDAD2
380,divorciarse,разводиться,FİİLLER,A2,UNIDAD2
381,morir,умирать,FİİLLER,A2,UNIDAD2
382,mudarse,переезжать,FİİLLER,A2,UNIDAD2
383,empezar,начинать,FİİLLER,A2,UNIDAD2
384,terminar,заканчивать,FİİLLER,A2,UNIDAD2
385,ganar,"зарабатывать, побеждать",FİİLLER,A2,UNIDAD2
386,perder,"терять, проигрывать",FİİLLER,A2,UNIDAD2
387,descubrir,открывать,FİİLLER,A2,UNIDAD2
388,famoso,знаменитый,SIFATLAR,A2,UNIDAD2
389,exitoso,успешный,SIFATLAR,A2,UNIDAD2
390,infancia,детство,İSİMLER,A2,UNIDAD2
391,juventud,молодость,İSİMLER,A2,UNIDAD2
392,edad adulta,взрослая жизнь,İSİMLER,A2,UNIDAD2
393,carrera,карьера,İSİMLER,A2,UNIDAD2
394,premio,премия,İSİMLER,A2,UNIDAD2
395,éxito,успех,İSİMLER,A2,UNIDAD2
396,fracaso,неудача,İSİMLER,A2,UNIDAD2
397,en,в (году),EDATLAR / BAĞLAÇLAR,A2,UNIDAD2
398,desde,с,EDATLAR / BAĞLAÇLAR,A2,UNIDAD2
399,hasta,до,EDATLAR / BAĞLAÇLAR,A2,UNIDAD2
400,durante,в течение,EDATLAR / BAĞLAÇLAR,A2,UNIDAD2
401,hace,назад,DİĞER KELİMELER,A2,UNIDAD2
402,casa,дом,İSİMLER,A2,UNIDAD3
403,piso,"квартира, этаж",İSİMLER,A2,UNIDAD3
404,habitación,комната,İSİMLER,A2,UNIDAD3
405,salón,гостиная,İSİMLER,A2,UNIDAD3
406,baño,ванная,İSİMLER,A2,UNIDAD3
407,dormitorio,спальня,İSİMLER,A2,UNIDAD3
408,pasillo,коридор,İSİMLER,A2,UNIDAD3
409,terraza,терраса,İSİMLER,A2,UNIDAD3
410,balcón,балкон,İSİMLER,A2,UNIDAD3
411,jardín,сад,İSİMLER,A2,UNIDAD3
412,garaje,гараж,İSİMLER,A2,UNIDAD3
413,ascensor,лифт,İSİMLER,A2,UNIDAD3
414,escalera,лестница,İSİMLER,A2,UNIDAD3
415,mueble,мебель,İSİMLER,A2,UNIDAD3
416,sofá,диван,İSİMLER,A2,UNIDAD3
417,sillón,кресло,İSİMLER,A2,UNIDAD3
418,estantería,стеллаж,İSİMLER,A2,UNIDAD3
419,armario,шкаф,İSİMLER,A2,UNIDAD3
420,cama,кровать,İSİMLER,A2,UNIDAD3
421,lámpara,лампа,İSİMLER,A2,UNIDAD3
422,alfombra,ковёр,İSİMLER,A2,UNIDAD3
423,cortina,штора,İSİMLER,A2,UNIDAD3
424,nevera,холодильник,İSİMLER,A2,UNIDAD3
425,lavadora,стиральная машина,İSİMLER,A2,UNIDAD3
426,alquilar,"снимать, сдавать",FİİLLER,A2,UNIDAD3
427,comparar,сравнивать,FİİLLER,A2,UNIDAD3
428,más... que,более ... чем,KALIP İFADELER,A2,UNIDAD3
429,tan... como,такой же ... как,KALIP İFADELER,A2,UNIDAD3
430,cómodo,удобный,SIFATLAR,A2,UNIDAD3
431,luminoso,светлый,SIFATLAR,A2,UNIDAD3
432,ruidoso,шумный,SIFATLAR,A2,UNIDAD3
433,amueblado,меблированный,SIFATLAR,A2,UNIDAD3
434,vecino,сосед,İSİMLER,A2,UNIDAD3
435,receta,рецепт,İSİMLER,A2,UNIDAD4
436,ingrediente,ингредиент,İSİMLER,A2,UNIDAD4
437,cucharada,столовая ложка,İSİMLER,A2,UNIDAD4
438,kilo,килограмм,İSİMLER,A2,UNIDAD4
439,litro,литр,İSİMLER,A2,UNIDAD4
440,trozo,кусок,İSİMLER,A2,UNIDAD4
441,cortar,резать,FİİLLER,A2,UNIDAD4
442,mezclar,смешивать,FİİLLER,A2,UNIDAD4
443,freír,жарить,FİİLLER,A2,UNIDAD4
444,hervir,"кипятить, варить",FİİLLER,A2,UNIDAD4
445,hornear,печь,FİİLLER,A2,UNIDAD4
446,añadir,добавлять,FİİLLER,A2,UNIDAD4
447,servir,подавать,FİİLLER,A2,UNIDAD4
448,hábito,привычка,İSİMLER,A2,UNIDAD4
449,dieta,рацион,İSİMLER,A2,UNIDAD4
450,vegetariano,вегетарианец,İSİMLER,A2,UNIDAD4
451,alergia,аллергия,İSİMLER,A2,UNIDAD4
452,saludable,полезный,SIFATLAR,A2,UNIDAD4
453,casero,домашний,SIFATLAR,A2,UNIDAD4
454,basura,мусор,İSİMLER,A2,UNIDAD4
455,reciclaje,переработка,İSİMLER,A2,UNIDAD4
456,mercado,рынок,İSİMLER,A2,UNIDAD4
457,lista de la compra,список покупок,İSİMLER,A2,UNIDAD4
458,consejo,совет,İSİMLER,A2,UNIDAD5
459,recomendar,рекомендовать,FİİLLER,A2,UNIDAD5
460,deber,долженствовать,FİİLLER,A2,UNIDAD5
461,tener que,быть должным,FİİLLER,A2,UNIDAD5
462,hay que,нужно (безлично),KALIP İFADELER,A2,UNIDAD5
463,prohibido,запрещено,SIFATLAR,A2,UNIDAD5
464,permitido,разрешено,SIFATLAR,A2,UNIDAD5
465,salud,здоровье,İSİMLER,A2,UNIDAD5
466,dolor,боль,İSİMLER,A2,UNIDAD5
467,estómago,желудок,İSİMLER,A2,UNIDAD5
468,garganta,горло,İSİMLER,A2,UNIDAD5
469,tos,кашель,İSİMLER,A2,UNIDAD5
470,fiebre,температура,İSİMLER,A2,UNIDAD5
471,resfriado,простуда,İSİMLER,A2,UNIDAD5
472,gripe,грипп,İSİMLER,A2,UNIDAD5
473,herida,рана,İSİMLER,A2,UNIDAD5
474,medicina,лекарство,İSİMLER,A2,UNIDAD5
475,pastilla,таблетка,İSİMLER,A2,UNIDAD5
476,enfermo,больной,SIFATLAR,A2,UNIDAD5
